2017-03-15 09:15:14.242	    7fcb17e13740	INFO 	global	contrib/epee/src/mlog.cpp:145	New log categories: *:WARNING,net:FATAL,net.p2p:FATAL,global:INFO,verify:FATAL,stacktrace:INFO
2017-03-15 09:15:14.242	    7fcb17e13740	INFO 	global	contrib/epee/src/mlog.cpp:153	New log categories: *:WARNING,net:FATAL,net.p2p:FATAL,global:INFO,verify:FATAL,stacktrace:INFO
2017-03-15 09:15:14.242	    7fcb17e13740	INFO 	global	src/daemon/main.cpp:282	Monero 'Wolfram Warptangent' (v0.10.2.1-release)
2017-03-15 09:15:14.243	    7fcb17e13740	WARN 	daemon	src/daemon/executor.cpp:62	Monero 'Wolfram Warptangent' (v0.10.2.1-release) Daemonised
2017-03-15 09:15:14.243	    7fcb17e13740	INFO 	global	src/daemon/protocol.h:55	Initializing cryptonote protocol...
2017-03-15 09:15:14.243	    7fcb17e13740	INFO 	global	src/daemon/protocol.h:60	Cryptonote protocol initialized OK
2017-03-15 09:15:14.244	    7fcb17e13740	INFO 	global	src/daemon/p2p.h:63	Initializing p2p server...
2017-03-15 09:15:14.245	    7fcb17e13740	INFO 	global	src/daemon/p2p.h:68	P2p server initialized OK
2017-03-15 09:15:14.245	    7fcb17e13740	INFO 	global	src/daemon/rpc.h:58	Initializing core rpc server...
2017-03-15 09:15:14.253	    7fcb17e13740	INFO 	global	contrib/epee/include/net/http_server_impl_base.h:70	Binding on 127.0.0.1:38081
2017-03-15 09:15:14.253	    7fcb17e13740	INFO 	global	src/daemon/rpc.h:63	Core rpc server initialized OK on port: 38081
2017-03-15 09:15:14.253	    7fcb17e13740	INFO 	global	src/daemon/core.h:73	Initializing core...
2017-03-15 09:15:14.253	    7fcb17e13740	INFO 	global	src/cryptonote_core/cryptonote_core.cpp:316	Loading blockchain from folder /data/node-2/lmdb ...
2017-03-15 09:15:14.255	    7fcb17e13740	WARN 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:71	Error attempting to retrieve a hard fork version at height 0 from the db: MDB_NOTFOUND: No matching key/data pair found
2017-03-15 09:15:14.255	    7fcb17e13740	INFO 	stacktrace	src/common/stack_trace.cpp:119	Exception: cryptonote::DB_ERROR
2017-03-15 09:15:14.255	    7fcb17e13740	INFO 	stacktrace	src/common/stack_trace.cpp:120	Unwound call stack:
2017-03-15 09:15:14.258	    7fcb17e13740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [1] /usr/bin/monerod() [0x74c46f]
2017-03-15 09:15:14.258	    7fcb17e13740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [2] /usr/bin/monerod:cryptonote::BlockchainLMDB::get_hard_fork_version(unsigned long) const+0x34f [0x7000cf]
2017-03-15 09:15:14.258	    7fcb17e13740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [3] /usr/bin/monerod:cryptonote::HardFork::init()+0x11c [0x6edc5c]
2017-03-15 09:15:14.258	    7fcb17e13740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [4] /usr/bin/monerod:cryptonote::Blockchain::init(cryptonote::BlockchainDB*, bool, cryptonote::test_options const*)+0x1a6 [0x6bb3d6]
2017-03-15 09:15:14.258	    7fcb17e13740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [5] /usr/bin/monerod:cryptonote::core::init(boost::program_options::variables_map const&, cryptonote::test_options const*)+0x1311 [0x659e71]
2017-03-15 09:15:14.258	    7fcb17e13740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [6] /usr/bin/monerod:daemonize::t_daemon::run(bool)+0x1fe [0x5baa6e]
2017-03-15 09:15:14.258	    7fcb17e13740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [7] /usr/bin/monerod:main+0x191a [0x58282a]
2017-03-15 09:15:14.258	    7fcb17e13740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [8] /lib/x86_64-linux-gnu/libc.so.6:__libc_start_main+0xf0 [0x7fcb17123830]
2017-03-15 09:15:14.258	    7fcb17e13740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [9] /usr/bin/monerod:_start+0x29 [0x590509]
2017-03-15 09:15:14.258	    7fcb17e13740	INFO 	stacktrace	src/common/stack_trace.cpp:158	
2017-03-15 09:15:14.625	    7fcb17e13740	INFO 	global	src/daemon/core.h:78	Core initialized OK
2017-03-15 09:15:14.625	    7fcb17e13740	INFO 	global	src/daemon/rpc.h:68	Starting core rpc server...
2017-03-15 09:15:14.625	[SRV_MAIN]	INFO 	global	src/daemon/rpc.h:73	Core rpc server started ok
2017-03-15 09:15:14.625	[SRV_MAIN]	INFO 	global	src/daemon/p2p.h:78	Starting p2p net loop...
2017-03-15 09:15:15.627	[P2P0]	INFO 	global	src/cryptonote_core/cryptonote_core.cpp:1065	[1;33m
**********************************************************************
The daemon will start synchronizing with the network. It may take up to several hours.

You can set the level of process detailization* through "set_log <level|categories>" command*,
where <level> is between 0 (no details) and 4 (very verbose), or custom category based levels (eg, *:WARNING)

Use the "help" command to see the list of available commands.
**********************************************************************
[0m
2017-03-15 09:15:15.627	[P2P0]	WARN 	global	src/cryptonote_core/cryptonote_core.cpp:1089	[1;31m**********************************************************************[0m
2017-03-15 09:15:15.627	[P2P0]	WARN 	global	src/cryptonote_core/cryptonote_core.cpp:1090	[1;31mLast scheduled hard fork time shows a daemon update is needed now.[0m
2017-03-15 09:15:15.627	[P2P0]	WARN 	global	src/cryptonote_core/cryptonote_core.cpp:1091	[1;31m**********************************************************************[0m
2017-03-15 09:15:15.628	[P2P3]	INFO 	global	src/cryptonote_protocol/cryptonote_protocol_handler.inl:1106	[1;33m
**********************************************************************
You are now synchronized with the network. You may now start monero-wallet-cli.

Use the "help" command to see the list of available commands.
**********************************************************************[0m
2017-03-15 09:15:15.635	[P2P3]	WARN 	miner	src/cryptonote_basic/miner.cpp:293	Mining has started with 1 threads, good luck!
2017-03-15 09:15:15.635	    7fcacd7f7700	INFO 	global	src/cryptonote_basic/miner.cpp:399	Miner thread was started [0]
2017-03-15 09:15:15.731	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1[0m
2017-03-15 09:15:15.945	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1[0m
2017-03-15 09:15:21.192	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 60[0m
2017-03-15 09:17:49.931	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 3660[0m
2017-03-15 09:17:53.354	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1479[0m
2017-03-15 09:18:24.946	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1988[0m
2017-03-15 09:18:50.815	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 2307[0m
2017-03-15 09:19:59.567	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 2700[0m
2017-03-15 09:21:16.556	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 2586[0m
2017-03-15 09:21:28.220	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 2499[0m
2017-03-15 09:24:58.814	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 2826[0m
2017-03-15 09:27:39.725	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 2070[0m
2017-03-15 09:28:33.205	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1801[0m
2017-03-15 09:28:56.384	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1815[0m
2017-03-15 09:30:12.529	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1895[0m
2017-03-15 09:30:47.292	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1857[0m
2017-03-15 09:31:37.488	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1905[0m
2017-03-15 09:31:47.866	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1928[0m
2017-03-15 09:33:13.994	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 2021[0m
2017-03-15 09:36:04.934	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1974[0m
2017-03-15 09:36:40.623	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1803[0m
2017-03-15 09:37:02.311	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1837[0m
2017-03-15 09:37:09.690	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1888[0m
2017-03-15 09:37:58.440	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1965[0m
2017-03-15 09:40:23.208	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1983[0m
2017-03-15 09:40:32.694	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1872[0m
2017-03-15 09:42:45.536	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1931[0m
2017-03-15 09:43:07.136	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1847[0m
2017-03-15 09:43:15.294	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1887[0m
2017-03-15 09:44:33.854	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1947[0m
2017-03-15 09:44:41.514	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1927[0m
2017-03-15 09:44:51.281	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 1987[0m
2017-03-15 09:44:54.168	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 2040[0m
2017-03-15 09:44:55.006	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 2102[0m
2017-03-15 09:46:25.595	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 2172[0m
2017-03-15 09:46:30.165	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 2138[0m
2017-03-15 09:47:18.911	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 2200[0m
2017-03-15 09:47:33.807	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 2214[0m
2017-03-15 09:48:27.284	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 2269[0m
2017-03-15 09:50:14.098	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 2276[0m
2017-03-15 09:51:44.251	[miner 0]	INFO 	global	src/cryptonote_basic/miner.cpp:454	[1;32mFound block for difficulty: 2224[0m
